Number,Latitude,Longitude,Label
1,44.024909973,-88.544433594,Oshkosh WI 1986-2004
2,47.121860504,-88.570022583,Houghton MI 2004-2008
3,40.631019592,-75.377777100,Bethlehem PA 2008-2012
4,40.623614656,-111.918684653,Salt Lake City UT 2012-Present
